epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,729.113,3.51001,3.2204,1.70065,0.35412,0.07554,0.03425,0.01437,2.68478,2.42624,1.27728,0.000237908,0.000237908,0.000237908
2,1332,2.35294,2.08515,1.22842,0.46398,0.09578,0.06911,0.03179,2.15356,1.81802,1.12948,0.000466485,0.000466485,0.000466485
3,2048.29,2.12686,1.869,1.14914,0.45161,0.11975,0.08855,0.04436,1.9389,1.66196,1.07979,0.000685637,0.000685637,0.000685637
4,2665.49,1.99771,1.74265,1.11678,0.29256,0.13103,0.09776,0.04916,1.89809,1.60363,1.05786,0.000671588,0.000671588,0.000671588
5,3394.37,1.90909,1.64327,1.08688,0.30217,0.1409,0.11748,0.06282,1.77139,1.47879,1.0377,0.000657451,0.000657451,0.000657451
6,4122.47,1.85972,1.58573,1.07275,0.19671,0.15611,0.1215,0.0635,1.77927,1.47578,1.02839,0.000643314,0.000643314,0.000643314
7,4900.1,1.80523,1.52648,1.0566,0.31459,0.16494,0.13737,0.07325,1.72576,1.39183,1.0153,0.000629177,0.000629177,0.000629177
8,5634.5,1.76994,1.48322,1.0444,0.22263,0.17087,0.13806,0.07391,1.69733,1.37961,1.00609,0.00061504,0.00061504,0.00061504
9,6244.85,1.7346,1.44915,1.03907,0.25944,0.17413,0.14976,0.08236,1.6563,1.33473,1.00144,0.000600902,0.000600902,0.000600902
10,7311.33,1.70824,1.40848,1.02692,0.26574,0.17509,0.15448,0.08401,1.66478,1.323,0.99319,0.000586765,0.000586765,0.000586765
11,8219.57,1.69905,1.39868,1.02712,0.23766,0.18702,0.15917,0.08898,1.59791,1.27606,0.98454,0.000572628,0.000572628,0.000572628
12,10250.9,1.65879,1.35646,1.01513,0.30214,0.18807,0.17089,0.09571,1.58126,1.2458,0.97852,0.000558491,0.000558491,0.000558491
13,10964.4,1.641,1.3383,1.012,0.30975,0.20008,0.17531,0.09656,1.58008,1.24566,0.98231,0.000544354,0.000544354,0.000544354
14,11395.8,1.62935,1.32179,1.00462,0.29138,0.19718,0.17907,0.10175,1.54586,1.22076,0.97025,0.000530216,0.000530216,0.000530216
15,11826.6,1.61148,1.29641,1.00348,0.30161,0.1957,0.17547,0.09849,1.57135,1.22705,0.97333,0.000516079,0.000516079,0.000516079
16,12249.3,1.59955,1.27245,0.99874,0.31321,0.21497,0.19114,0.10904,1.52047,1.18769,0.96722,0.000501942,0.000501942,0.000501942
17,12670.7,1.59621,1.26149,0.99372,0.31751,0.22156,0.19881,0.11222,1.5158,1.15942,0.96653,0.000487805,0.000487805,0.000487805
18,13103.3,1.58104,1.25574,0.99087,0.35514,0.2203,0.20075,0.11241,1.52436,1.15856,0.96434,0.000473668,0.000473668,0.000473668
19,13534.8,1.55178,1.22765,0.98564,0.29963,0.2236,0.2032,0.11523,1.50364,1.14547,0.95966,0.00045953,0.00045953,0.00045953
20,13968.3,1.55226,1.2189,0.98338,0.34164,0.22518,0.21079,0.12063,1.47248,1.12758,0.9548,0.000445393,0.000445393,0.000445393
21,14400.6,1.5336,1.20198,0.98153,0.34188,0.22609,0.21528,0.12263,1.46291,1.11491,0.95168,0.000431256,0.000431256,0.000431256
22,14839.3,1.52322,1.19909,0.97839,0.33544,0.23834,0.21894,0.12588,1.45664,1.10582,0.95193,0.000417119,0.000417119,0.000417119
23,15270.7,1.5184,1.18747,0.97778,0.3557,0.22655,0.21883,0.1261,1.45346,1.10133,0.95051,0.000402982,0.000402982,0.000402982
24,15708.8,1.52117,1.18867,0.9792,0.35119,0.23471,0.22031,0.12639,1.46106,1.0918,0.9497,0.000388844,0.000388844,0.000388844
25,16142.4,1.50902,1.18084,0.97361,0.35783,0.23708,0.22764,0.13106,1.42447,1.0701,0.94394,0.000374707,0.000374707,0.000374707
26,16574,1.48248,1.14637,0.96912,0.34854,0.24007,0.22934,0.1316,1.42265,1.06639,0.94077,0.00036057,0.00036057,0.00036057
27,17006,1.49061,1.15497,0.96924,0.3505,0.24739,0.23114,0.13227,1.43104,1.06916,0.9447,0.000346433,0.000346433,0.000346433
28,17441.9,1.47992,1.14087,0.96563,0.34779,0.24894,0.23385,0.13403,1.43086,1.05723,0.94173,0.000332296,0.000332296,0.000332296
29,17876.7,1.46712,1.12371,0.96385,0.36375,0.25163,0.23604,0.13576,1.41992,1.05774,0.93973,0.000318158,0.000318158,0.000318158
30,18308.6,1.47604,1.12933,0.96698,0.37028,0.2482,0.23783,0.13806,1.40514,1.04488,0.93954,0.000304021,0.000304021,0.000304021
31,18740.2,1.45526,1.11281,0.96375,0.36704,0.25532,0.24347,0.14056,1.40193,1.04028,0.93717,0.000289884,0.000289884,0.000289884
32,19174.5,1.44582,1.10744,0.95911,0.38961,0.25269,0.24256,0.14114,1.40223,1.02979,0.9346,0.000275747,0.000275747,0.000275747
33,19608.7,1.4462,1.09683,0.9566,0.37159,0.25714,0.24614,0.14254,1.39615,1.02729,0.93415,0.00026161,0.00026161,0.00026161
34,20042.8,1.44768,1.09771,0.95611,0.37542,0.25971,0.24946,0.14517,1.38988,1.02085,0.9338,0.000247472,0.000247472,0.000247472
35,20474.3,1.43334,1.0789,0.95219,0.3679,0.26117,0.24694,0.14268,1.39471,1.01594,0.93275,0.000233335,0.000233335,0.000233335
36,20909.2,1.43085,1.07597,0.95495,0.3848,0.2646,0.25207,0.1466,1.38375,1.00832,0.93219,0.000219198,0.000219198,0.000219198
37,21342.5,1.42251,1.0669,0.95255,0.38883,0.2663,0.25462,0.14836,1.37695,1.00081,0.92903,0.000205061,0.000205061,0.000205061
38,21775.6,1.41431,1.06471,0.94742,0.3968,0.26538,0.2547,0.14838,1.37266,1.003,0.92985,0.000190924,0.000190924,0.000190924
39,22207.6,1.41479,1.058,0.95051,0.39503,0.2651,0.25563,0.14841,1.37469,1.002,0.92885,0.000176786,0.000176786,0.000176786
40,22640.1,1.40382,1.04509,0.94576,0.38623,0.27172,0.25932,0.15147,1.36721,0.98893,0.92754,0.000162649,0.000162649,0.000162649
41,23082.4,1.41581,1.05436,0.93783,0.38013,0.26523,0.25236,0.14687,1.3828,1.00948,0.92979,0.000148512,0.000148512,0.000148512
42,23509.8,1.40472,1.04042,0.93759,0.38824,0.2663,0.25624,0.14982,1.36705,1.00297,0.92676,0.000134375,0.000134375,0.000134375
43,23937,1.40957,1.04492,0.93768,0.39188,0.26395,0.25854,0.15142,1.36634,0.99047,0.92711,0.000120238,0.000120238,0.000120238
44,24365.8,1.3973,1.02613,0.93346,0.40191,0.26772,0.25893,0.15104,1.37351,0.99423,0.92708,0.0001061,0.0001061,0.0001061
45,24794.6,1.39776,1.02399,0.93327,0.39556,0.27227,0.25873,0.15204,1.36494,0.99494,0.92611,9.19632e-05,9.19632e-05,9.19632e-05
46,25224.2,1.38594,1.01035,0.93164,0.40406,0.27121,0.26142,0.15377,1.36102,0.98795,0.92514,7.7826e-05,7.7826e-05,7.7826e-05
47,25653.4,1.38658,1.01043,0.93207,0.39107,0.26884,0.25954,0.15245,1.36423,0.99493,0.92469,6.36888e-05,6.36888e-05,6.36888e-05
48,26081.5,1.37761,1.00166,0.93009,0.38951,0.27265,0.26128,0.15325,1.36154,0.98695,0.92467,4.95516e-05,4.95516e-05,4.95516e-05
49,26507.6,1.38124,0.99847,0.93262,0.39936,0.27607,0.26268,0.1541,1.35535,0.98549,0.92352,3.54144e-05,3.54144e-05,3.54144e-05
50,26930.9,1.37309,0.99429,0.92758,0.3962,0.27737,0.26465,0.15589,1.35355,0.97868,0.92341,2.12772e-05,2.12772e-05,2.12772e-05
