epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,457.402,3.55299,3.17266,2.68457,0.38883,0.06487,0.03949,0.01684,2.62545,2.41041,1.58856,0.000237632,0.000237632,0.000237632
2,2211.94,2.27613,1.91039,1.42243,0.33207,0.10739,0.0825,0.039,2.10653,1.81321,1.29074,0.000466215,0.000466215,0.000466215
3,4021.67,2.0397,1.71074,1.24906,0.17954,0.12719,0.10342,0.05156,1.9503,1.73883,1.18022,0.000685372,0.000685372,0.000685372
4,4805.2,1.89808,1.58977,1.17297,0.21396,0.15981,0.12473,0.06483,1.80412,1.53981,1.12014,0.000671588,0.000671588,0.000671588
5,5116.6,1.80303,1.50799,1.13325,0.24821,0.17072,0.13894,0.07421,1.70242,1.4714,1.09932,0.000657451,0.000657451,0.000657451
6,6313.16,1.74374,1.43886,1.10601,0.36844,0.19075,0.16166,0.08551,1.67725,1.43323,1.07202,0.000643314,0.000643314,0.000643314
7,7050.64,1.69207,1.39272,1.08497,0.27226,0.21406,0.1785,0.09745,1.60263,1.33551,1.05265,0.000629177,0.000629177,0.000629177
8,7327.08,1.64739,1.34408,1.06796,0.27742,0.20099,0.18337,0.09928,1.59263,1.3044,1.04045,0.00061504,0.00061504,0.00061504
9,7604.17,1.62418,1.31315,1.05872,0.31856,0.22576,0.2044,0.11445,1.56292,1.24203,1.03431,0.000600902,0.000600902,0.000600902
10,7920.49,1.58863,1.27769,1.04476,0.32441,0.22544,0.2082,0.11572,1.52595,1.23006,1.02664,0.000586765,0.000586765,0.000586765
11,9593.36,1.56367,1.24037,1.03637,0.29992,0.23204,0.20184,0.11083,1.534,1.26765,1.01984,0.000572628,0.000572628,0.000572628
12,10929.3,1.53757,1.21753,1.02465,0.42747,0.23372,0.22017,0.12357,1.48396,1.18058,1.00775,0.000558491,0.000558491,0.000558491
13,12526.3,1.51972,1.2074,1.02202,0.4168,0.24384,0.22852,0.12873,1.4651,1.16936,1.00454,0.000544354,0.000544354,0.000544354
14,12846.5,1.51516,1.19444,1.02024,0.35274,0.25993,0.23736,0.13604,1.44583,1.12602,0.99966,0.000530216,0.000530216,0.000530216
15,13121.3,1.50353,1.17719,1.01036,0.40056,0.24478,0.22933,0.13109,1.47895,1.18059,0.99144,0.000516079,0.000516079,0.000516079
16,13391,1.50868,1.16693,1.00705,0.35669,0.27095,0.25231,0.1436,1.46016,1.14022,0.98552,0.000501942,0.000501942,0.000501942
17,13661.1,1.5103,1.17211,1.00135,0.40942,0.26282,0.25363,0.14614,1.44756,1.14333,0.98175,0.000487805,0.000487805,0.000487805
18,14461.2,1.50757,1.16305,0.9938,0.40145,0.26747,0.25764,0.14791,1.45179,1.12633,0.97778,0.000473668,0.000473668,0.000473668
19,15221.4,1.48083,1.13946,0.98991,0.38566,0.27749,0.26619,0.1534,1.42257,1.10273,0.96693,0.00045953,0.00045953,0.00045953
20,16037.2,1.47187,1.12933,0.98334,0.40559,0.27847,0.27597,0.16264,1.3983,1.0853,0.96459,0.000445393,0.000445393,0.000445393
21,16885,1.46713,1.12673,0.98086,0.39612,0.28216,0.27713,0.16078,1.40167,1.08556,0.9618,0.000431256,0.000431256,0.000431256
22,17242.4,1.45257,1.10876,0.97694,0.40844,0.28776,0.28119,0.16488,1.3869,1.06204,0.96067,0.000417119,0.000417119,0.000417119
23,18164.4,1.44291,1.10075,0.97278,0.42722,0.28344,0.28585,0.16636,1.39173,1.06438,0.95813,0.000402982,0.000402982,0.000402982
24,18433.6,1.43035,1.0858,0.97029,0.40452,0.29173,0.28545,0.16714,1.38636,1.06002,0.9554,0.000388844,0.000388844,0.000388844
25,19719,1.43219,1.08429,0.96723,0.41751,0.28742,0.28663,0.16763,1.36771,1.04745,0.95271,0.000374707,0.000374707,0.000374707
26,20362.3,1.42085,1.07136,0.96384,0.43533,0.29631,0.29428,0.17195,1.37182,1.04405,0.95166,0.00036057,0.00036057,0.00036057
27,21270.5,1.41313,1.06101,0.96188,0.41516,0.30755,0.29948,0.17751,1.35296,1.0241,0.94831,0.000346433,0.000346433,0.000346433
28,23125.2,1.39921,1.05689,0.96064,0.42581,0.30049,0.30238,0.1767,1.35665,1.01066,0.94695,0.000332296,0.000332296,0.000332296
29,23982.4,1.40186,1.04885,0.95982,0.42985,0.30393,0.30322,0.17874,1.35101,1.01985,0.94682,0.000318158,0.000318158,0.000318158
30,24438.9,1.38308,1.03706,0.95624,0.42374,0.30995,0.30609,0.18063,1.33847,1.0028,0.94364,0.000304021,0.000304021,0.000304021
31,24903.6,1.37344,1.01957,0.95454,0.42862,0.31758,0.31341,0.18499,1.33947,0.99112,0.94261,0.000289884,0.000289884,0.000289884
32,25174.1,1.37576,1.022,0.9526,0.42101,0.31499,0.3109,0.18404,1.32967,0.99029,0.94108,0.000275747,0.000275747,0.000275747
33,26883.3,1.36715,1.01,0.95084,0.45265,0.31756,0.31545,0.18697,1.32633,0.98812,0.94155,0.00026161,0.00026161,0.00026161
34,27346.5,1.36681,1.01225,0.95057,0.44307,0.31705,0.31853,0.18811,1.32402,0.97568,0.93948,0.000247472,0.000247472,0.000247472
35,27910.2,1.36149,1.00418,0.94707,0.42985,0.32879,0.3189,0.18882,1.32257,0.98241,0.93781,0.000233335,0.000233335,0.000233335
36,28724.5,1.35898,0.99704,0.94429,0.43909,0.32091,0.3197,0.18811,1.32415,0.9745,0.93666,0.000219198,0.000219198,0.000219198
37,29407.6,1.34653,0.98427,0.94498,0.43803,0.32707,0.32387,0.19096,1.31895,0.97183,0.93578,0.000205061,0.000205061,0.000205061
38,31310.7,1.34354,0.98133,0.94532,0.46131,0.32103,0.32613,0.19297,1.31169,0.96534,0.93427,0.000190924,0.000190924,0.000190924
39,32523.7,1.34182,0.9814,0.94298,0.43816,0.32999,0.32855,0.1946,1.30483,0.95833,0.9321,0.000176786,0.000176786,0.000176786
40,32800.7,1.33953,0.97167,0.94294,0.44625,0.33829,0.33081,0.19491,1.30801,0.95363,0.93374,0.000162649,0.000162649,0.000162649
41,33070.8,1.31213,0.95327,0.94295,0.45131,0.32838,0.32776,0.19396,1.31576,0.95816,0.93356,0.000148512,0.000148512,0.000148512
42,33340,1.30311,0.93961,0.93773,0.45618,0.32394,0.32804,0.1943,1.30643,0.9536,0.93098,0.000134375,0.000134375,0.000134375
43,33673.6,1.29832,0.93841,0.93974,0.453,0.32906,0.32918,0.19463,1.30766,0.95583,0.9321,0.000120238,0.000120238,0.000120238
44,34025,1.28785,0.92233,0.9348,0.45613,0.32724,0.3301,0.19619,1.30419,0.95214,0.93006,0.0001061,0.0001061,0.0001061
45,34316.9,1.28448,0.91795,0.9337,0.45265,0.3305,0.33062,0.19667,1.2994,0.95052,0.92945,9.19632e-05,9.19632e-05,9.19632e-05
46,34982.5,1.27485,0.90967,0.93334,0.46442,0.33039,0.33223,0.19723,1.3015,0.94757,0.92932,7.7826e-05,7.7826e-05,7.7826e-05
47,35431.1,1.27817,0.91011,0.93291,0.46437,0.33088,0.33672,0.19963,1.29665,0.94493,0.92864,6.36888e-05,6.36888e-05,6.36888e-05
48,35694.3,1.26653,0.89796,0.93115,0.46526,0.33095,0.33546,0.19975,1.29516,0.94026,0.92819,4.95516e-05,4.95516e-05,4.95516e-05
49,35956.5,1.26906,0.89765,0.93227,0.45415,0.33464,0.3348,0.19949,1.29555,0.9417,0.92786,3.54144e-05,3.54144e-05,3.54144e-05
50,36270.9,1.26283,0.89235,0.93063,0.47023,0.33307,0.33807,0.2016,1.29096,0.93469,0.92706,2.12772e-05,2.12772e-05,2.12772e-05
