epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,629.774,3.48875,3.14013,2.53236,0.39438,0.06268,0.04458,0.01838,2.56371,2.2017,1.53968,0.000237816,0.000237816,0.000237816
2,1220.96,2.30827,1.98537,1.41228,0.334,0.092,0.07399,0.0343,2.14374,1.88453,1.30577,0.000466395,0.000466395,0.000466395
3,1836.8,2.07302,1.77358,1.26311,0.28159,0.13392,0.10065,0.05081,1.90172,1.65071,1.19842,0.000685549,0.000685549,0.000685549
4,2432.84,1.92769,1.64341,1.19474,0.2873,0.13871,0.11376,0.05758,1.90368,1.70885,1.15178,0.000671588,0.000671588,0.000671588
5,3025.43,1.83562,1.54815,1.14861,0.23797,0.17394,0.14512,0.07728,1.70726,1.43086,1.10332,0.000657451,0.000657451,0.000657451
6,3650.75,1.76236,1.47681,1.1177,0.25697,0.18898,0.15843,0.08595,1.68882,1.42368,1.0872,0.000643314,0.000643314,0.000643314
7,4276.57,1.72025,1.42191,1.09746,0.35431,0.21003,0.1706,0.09277,1.63015,1.34967,1.05923,0.000629177,0.000629177,0.000629177
8,4946.62,1.67559,1.38697,1.08404,0.25849,0.21131,0.17601,0.09754,1.61644,1.34367,1.05031,0.00061504,0.00061504,0.00061504
9,5561.46,1.64674,1.34519,1.0748,0.29838,0.2207,0.19589,0.10702,1.59538,1.28502,1.04324,0.000600902,0.000600902,0.000600902
10,6713.56,1.61401,1.31656,1.06277,0.3467,0.21587,0.20146,0.11153,1.54476,1.25614,1.02584,0.000586765,0.000586765,0.000586765
11,7420.95,1.58925,1.2781,1.05133,0.31207,0.24307,0.21634,0.12157,1.51934,1.232,1.01845,0.000572628,0.000572628,0.000572628
12,7966.89,1.56055,1.2542,1.04129,0.36047,0.23869,0.21918,0.12273,1.50441,1.20296,1.01236,0.000558491,0.000558491,0.000558491
13,8511.99,1.53826,1.22467,1.03211,0.36234,0.246,0.23073,0.13077,1.4654,1.16622,1.00465,0.000544354,0.000544354,0.000544354
14,9057.37,1.53916,1.21772,1.02838,0.36544,0.251,0.23614,0.13449,1.47508,1.14304,1.00786,0.000530216,0.000530216,0.000530216
15,9602.35,1.51488,1.20012,1.02452,0.39402,0.25338,0.2411,0.13879,1.44431,1.14144,0.99695,0.000516079,0.000516079,0.000516079
